promo,category,promoqty,manufacturer,promoval,brand
209524,51006740,1,1593002228,1.0,189092190
176321,42760698,1,1957688344,0.75,1386413202
17125,56844954,1,629075831,1.5,1429623935
177412,56844954,1,629075831,1.5,1429623935
69839,56844954,1,629075831,1.5,1429623935
73739,56844954,1,629075831,1.5,1429623935
97335,56844954,1,629075831,1.5,1429623935
37568,75228190,1,1154816776,2.0,1234009542
108252,75228190,1,1154816776,2.0,1234009542
65353,20487740,1,122801592,1.5,324788825
32358,20487740,1,122801592,1.5,324788825
170791,81382162,1,122801592,1.25,324788825
89784,81382162,1,122801592,1.25,324788825
200736,55115791,1,122801592,1.25,324788825
214816,8946099,1,1150283635,2.0,86145108
95011,51006740,1,2037186963,1.0,854156277
108237,17240091,1,376504989,1.0,2395929821
178044,75536470,1,266826345,1.5,1893579944
222088,75536470,1,266826345,1.5,1893579944
54956,59128902,1,122801592,2.0,704691081
85872,59128902,1,122801592,3.0,704691081
96852,79950300,1,107216507,1.0,649187428
96801,50883796,1,324835488,1.5,885846981
159167,50883796,1,324835488,1.5,885846981
